memory,bench
2744752,bytes
1352872,bytes
1469108,bytes
1384244,bytes
1479884,bytes
1353476,bytes
1570892,bytes
1494460,bytes
1421524,bytes
1440436,bytes
2794416,bytes
1358568,bytes
1214936,bytes
1381540,bytes
1453732,bytes
1402916,bytes
1362676,bytes
1360964,bytes
1560940,bytes
1448484,bytes
2882432,bytes
1433316,bytes
1593708,bytes
1506604,bytes
1470884,bytes
1568620,bytes
1418952,bytes
1270104,bytes
1575900,bytes
1241096,bytes
2753424,bytes
1316136,bytes
1538620,bytes
1309608,bytes
1395700,bytes
1508716,bytes
1344504,bytes
1296536,bytes
1415688,bytes
1275224,bytes
2717860,bytes
1403300,bytes
1336152,bytes
1519620,bytes
1216344,bytes
1489060,bytes
1600076,bytes
1305192,bytes
1210392,bytes
1469556,bytes
2816944,bytes
1464852,bytes
1397412,bytes
1144628,bytes
1501708,bytes
1396260,bytes
1370820,bytes
1469620,bytes
1413236,bytes
1340424,bytes
2798864,bytes
1473876,bytes
1464660,bytes
1491732,bytes
1476212,bytes
1357320,bytes
1294376,bytes
1369668,bytes
1477204,bytes
1403876,bytes
2571492,bytes
1369368,bytes
1404756,bytes
1157428,bytes
1441364,bytes
1499580,bytes
1479524,bytes
1206120,bytes
1379012,bytes
1408804,bytes
2741424,bytes
1370952,bytes
1564652,bytes
1255688,bytes
1556860,bytes
1359784,bytes
1269032,bytes
1464476,bytes
1379364,bytes
1402452,bytes
2743268,bytes
1419140,bytes
1473012,bytes
1430276,bytes
1139956,bytes
1361160,bytes
1485652,bytes
1269208,bytes
1221784,bytes
1403540,bytes
8456356,record-dc
6484520,record-dc
6536892,record-dc
6448328,record-dc
6582172,record-dc
6527900,record-dc
6493752,record-dc
6610028,record-dc
6451096,record-dc
6475992,record-dc
8290596,record-dc
6459640,record-dc
6483864,record-dc
6453096,record-dc
6414520,record-dc
6562860,record-dc
6484904,record-dc
6648076,record-dc
6471112,record-dc
6491352,record-dc
8224388,record-dc
6550700,record-dc
6650652,record-dc
6445064,record-dc
6464840,record-dc
6418312,record-dc
6456760,record-dc
6588568,record-dc
6457528,record-dc
6473160,record-dc
8236304,record-dc
6692796,record-dc
6499816,record-dc
6552028,record-dc
6542872,record-dc
6650812,record-dc
6473752,record-dc
6437448,record-dc
6447752,record-dc
6599672,record-dc
8214644,record-dc
6592392,record-dc
6504648,record-dc
6463192,record-dc
6555416,record-dc
6494968,record-dc
6456696,record-dc
6449624,record-dc
6615900,record-dc
6426584,record-dc
8238660,record-dc
6471240,record-dc
6637404,record-dc
6485880,record-dc
6554396,record-dc
6507464,record-dc
6469176,record-dc
6473016,record-dc
6604252,record-dc
6458904,record-dc
8280768,record-dc
6502712,record-dc
6425288,record-dc
6448120,record-dc
6634444,record-dc
6508904,record-dc
6496104,record-dc
6481960,record-dc
6580380,record-dc
6548380,record-dc
8111764,record-dc
6455256,record-dc
6475464,record-dc
6463768,record-dc
6473480,record-dc
6525704,record-dc
6454744,record-dc
6414680,record-dc
6687580,record-dc
6554888,record-dc
8291680,record-dc
6436888,record-dc
6594060,record-dc
6488472,record-dc
6433192,record-dc
6519176,record-dc
6406808,record-dc
6445288,record-dc
6449352,record-dc
6431528,record-dc
8208644,record-dc
6432232,record-dc
6617292,record-dc
6504360,record-dc
6612040,record-dc
6632652,record-dc
6506040,record-dc
6573580,record-dc
6591324,record-dc
6601708,record-dc
